time,open,high,low,close,volume
2026-08-26T23:00:00+00:00,4609.09,4625.24,4606.76,4623.77,9094
2026-08-27T00:00:00+00:00,4623.77,4627.28,4600.36,4604.93,11673
2026-08-27T01:00:00+00:00,4605.02,4640.87,4602.28,4640.26,13941
2026-08-27T02:00:00+00:00,4640.53,4643.2,4623.41,4629.77,11711
2026-08-27T03:00:00+00:00,4629.73,4638.9,4624.32,4625.64,9770
2026-08-27T04:00:00+00:00,4625.61,4627.4,4617.18,4618.93,8674
2026-08-27T05:00:00+00:00,4618.92,4621.71,4600.7,4607.12,11423
2026-08-27T06:00:00+00:00,4607.15,4611.8,4597.95,4600.4,12187
2026-08-27T07:00:00+00:00,4600.35,4605.9,4593.54,4600.2,11454
2026-08-27T08:00:00+00:00,4600.23,4606.72,4594.56,4598.84,11044
2026-08-27T09:00:00+00:00,4598.98,4600.78,4577.96,4580.19,11734
2026-08-27T10:00:00+00:00,4580.19,4590.67,4568.87,4590.21,11288
2026-08-27T11:00:00+00:00,4590.13,4600.49,4587.22,4598.42,11138
2026-08-27T12:00:00+00:00,4598.46,4601.29,4580.36,4585.9,12523
2026-08-27T13:00:00+00:00,4585.86,4593.34,4565.75,4572.65,15800
2026-08-27T14:00:00+00:00,4572.37,4598.45,4568.57,4591.46,15514
2026-08-27T15:00:00+00:00,4591.48,4611.46,4588.7,4610.4,14186
2026-08-27T16:00:00+00:00,4610.41,4616.8,4602.4,4615.06,12826
2026-08-27T17:00:00+00:00,4615.71,4616.57,4605.02,4606.53,12144
2026-08-27T18:00:00+00:00,4606.53,4611.34,4600.89,4610.24,12107
2026-08-27T19:00:00+00:00,4610.24,4618.26,4604.1,4609.43,11853
2026-08-27T20:00:00+00:00,4609.42,4609.81,4599.89,4602.07,5865
2026-08-27T22:00:00+00:00,4607.14,4610.95,4601.16,4610.91,5798
2026-08-27T23:00:00+00:00,4610.68,4611.63,4594.07,4594.69,7149
2026-08-28T00:00:00+00:00,4594.54,4602.58,4585.5,4588.58,10532
2026-08-28T01:00:00+00:00,4588.64,4602.42,4575.42,4576.05,13978
2026-08-28T02:00:00+00:00,4576.06,4589.91,4575.11,4586.5,10813
2026-08-28T03:00:00+00:00,4586.51,4590.17,4578.54,4580.03,9535
2026-08-28T04:00:00+00:00,4580.01,4585.54,4577.82,4584.32,7183
2026-08-28T05:00:00+00:00,4584.55,4586.4,4571.6,4573.55,10015
2026-08-28T06:00:00+00:00,4573.41,4613.48,4572.32,4612.7,12651
2026-08-28T07:00:00+00:00,4612.58,4614.56,4596.44,4611.9,11748
2026-08-28T08:00:00+00:00,4611.75,4614.75,4601.08,4603.05,10570
2026-08-28T09:00:00+00:00,4602.6,4607.46,4600.41,4605.27,9895
2026-08-28T10:00:00+00:00,4605.29,4610.06,4597.55,4600.13,9735
2026-08-28T11:00:00+00:00,4600.2,4601.5,4591.29,4593.27,10847
2026-08-28T12:00:00+00:00,4593.46,4603.86,4589.1,4601.64,12787
2026-08-28T13:00:00+00:00,4601.66,4627.36,4593.63,4604.02,15345
2026-08-28T14:00:00+00:00,4605.25,4631.01,4529.99,4576.58,17290
2026-08-28T15:00:00+00:00,4576.66,4583.03,4523.69,4524.61,16889
2026-08-28T16:00:00+00:00,4524.52,4529.76,4464.25,4479.7,17050
2026-08-28T17:00:00+00:00,4479.6,4486.75,4460.34,4469.14,15835
2026-08-28T18:00:00+00:00,4469.29,4471.89,4445.24,4456.95,15109
2026-08-28T19:00:00+00:00,4456.96,4467.33,4452.92,4458.5,13643
2026-08-28T20:00:00+00:00,4458.5,4462.88,4453.37,4454.25,7307
2026-08-30T22:00:00+00:00,4437.02,4466.0,4434.61,4461.73,9000
2026-08-30T23:00:00+00:00,4461.45,4467.05,4435.99,4458.26,10708
2026-08-31T00:00:00+00:00,4458.27,4472.3,4452.06,4456.38,12724
2026-08-31T01:00:00+00:00,4456.34,4463.35,4435.89,4440.41,15723
2026-08-31T02:00:00+00:00,4440.14,4441.71,4396.41,4422.84,14700
2026-08-31T03:00:00+00:00,4422.73,4434.13,4419.7,4422.53,11178
2026-08-31T04:00:00+00:00,4422.54,4425.14,4412.85,4424.39,9496
2026-08-31T05:00:00+00:00,4424.41,4443.93,4419.18,4443.03,12247
2026-08-31T06:00:00+00:00,4443.08,4443.13,4429.36,4439.22,12046
2026-08-31T07:00:00+00:00,4439.27,4448.6,4435.14,4443.34,11021
2026-08-31T08:00:00+00:00,4443.33,4449.65,4433.73,4435.75,10576
2026-08-31T09:00:00+00:00,4435.76,4445.74,4435.52,4445.04,9620
2026-08-31T10:00:00+00:00,4445.23,4455.6,4444.72,4453.78,10265
2026-08-31T11:00:00+00:00,4453.79,4464.12,4452.4,4455.42,10842
2026-08-31T12:00:00+00:00,4455.28,4461.17,4435.49,4435.79,13055
2026-08-31T13:00:00+00:00,4435.77,4448.32,4415.66,4418.89,15302
2026-08-31T14:00:00+00:00,4418.39,4436.88,4416.06,4431.64,15845
2026-08-31T15:00:00+00:00,4431.74,4438.01,4424.45,4426.21,14753
2026-08-31T16:00:00+00:00,4426.18,4440.44,4423.57,4433.32,12921
2026-08-31T17:00:00+00:00,4433.39,4440.07,4428.69,4436.62,12148
2026-08-31T18:00:00+00:00,4436.62,4436.86,4426.23,4430.9,11105
2026-08-31T19:00:00+00:00,4430.82,4453.73,4429.19,4453.53,11701
2026-08-31T20:00:00+00:00,4453.6,4456.02,4446.29,4449.17,6747
2026-08-31T22:00:00+00:00,4449.9,4455.89,4445.39,4447.2,5768
2026-08-31T23:00:00+00:00,4447.21,4452.65,4441.78,4452.3,6712
2026-09-01T00:00:00+00:00,4452.28,4461.55,4446.21,4453.68,11883
2026-09-01T01:00:00+00:00,4453.48,4456.73,4436.2,4444.55,13715
2026-09-01T02:00:00+00:00,4444.56,4449.38,4427.75,4443.26,12405
2026-09-01T03:00:00+00:00,4443.18,4444.18,4431.74,4436.66,10320
2026-09-01T04:00:00+00:00,4436.64,4437.92,4425.31,4426.57,9047
2026-09-01T05:00:00+00:00,4426.77,4446.16,4423.77,4440.06,11458
2026-09-01T06:00:00+00:00,4440.07,4440.85,4427.74,4429.76,11536
2026-09-01T07:00:00+00:00,4429.73,4435.11,4412.23,4420.28,13196
2026-09-01T08:00:00+00:00,4419.92,4419.92,4369.21,4370.88,15468
2026-09-01T09:00:00+00:00,4370.84,4378.3,4364.56,4364.65,13624
2026-09-01T10:00:00+00:00,4364.58,4386.11,4364.28,4378.12,12302
2026-09-01T11:00:00+00:00,4378.07,4387.37,4371.85,4374.85,12517
2026-09-01T12:00:00+00:00,4374.64,4376.24,4351.91,4356.39,14619
2026-09-01T13:00:00+00:00,4356.25,4367.67,4326.16,4365.26,16457
2026-09-01T14:00:00+00:00,4365.1,4375.69,4353.24,4360.41,15920
2026-09-01T15:00:00+00:00,4360.48,4374.05,4355.14,4372.81,14304
2026-09-01T16:00:00+00:00,4372.87,4374.94,4347.04,4351.19,14745
2026-09-01T17:00:00+00:00,4351.4,4352.14,4341.06,4343.1,13251
2026-09-01T18:00:00+00:00,4343.1,4344.66,4328.29,4331.92,12464
2026-09-01T19:00:00+00:00,4331.89,4337.78,4322.41,4327.28,12540
2026-09-01T20:00:00+00:00,4327.07,4331.0,4323.6,4328.46,7296
2026-09-01T22:00:00+00:00,4333.69,4334.51,4326.18,4329.52,5618
2026-09-01T23:00:00+00:00,4329.52,4335.83,4322.86,4324.48,7592
2026-09-02T00:00:00+00:00,4324.64,4334.64,4314.27,4316.12,13603
2026-09-02T01:00:00+00:00,4315.68,4326.84,4288.31,4291.15,15160
2026-09-02T02:00:00+00:00,4291.18,4314.95,4287.13,4303.05,12967
2026-09-02T03:00:00+00:00,4303.06,4304.34,4282.31,4303.26,12057
2026-09-02T04:00:00+00:00,4303.27,4307.96,4301.31,4307.35,8627
2026-09-02T05:00:00+00:00,4307.33,4326.72,4303.45,4320.07,11783
2026-09-02T06:00:00+00:00,4320.1,4329.43,4314.64,4321.83,13706
2026-09-02T07:00:00+00:00,4321.99,4331.57,4319.07,4323.36,13011
2026-09-02T08:00:00+00:00,4323.44,4331.76,4312.57,4312.98,12486
2026-09-02T09:00:00+00:00,4312.97,4322.56,4304.88,4308.61,12255
2026-09-02T10:00:00+00:00,4308.6,4312.36,4301.78,4309.32,11330
2026-09-02T11:00:00+00:00,4309.03,4333.08,4307.59,4332.52,13236
2026-09-02T12:00:00+00:00,4332.49,4344.75,4327.17,4331.39,14088
2026-09-02T13:00:00+00:00,4331.4,4385.68,4330.83,4385.52,15946
2026-09-02T14:00:00+00:00,4385.47,4397.49,4374.37,4377.13,16089
2026-09-02T15:00:00+00:00,4377.12,4380.97,4364.52,4373.12,14730
2026-09-02T16:00:00+00:00,4373.18,4374.93,4364.49,4368.3,12289
2026-09-02T17:00:00+00:00,4368.29,4380.86,4364.58,4376.96,11400
2026-09-02T18:00:00+00:00,4376.95,4379.74,4369.31,4374.2,11342
2026-09-02T19:00:00+00:00,4374.19,4391.29,4371.74,4391.18,11498
2026-09-02T20:00:00+00:00,4391.13,4391.73,4383.73,4388.18,7513
2026-09-02T22:00:00+00:00,4391.36,4393.27,4383.28,4384.53,5743
2026-09-02T23:00:00+00:00,4384.55,4389.04,4381.07,4385.8,6832
2026-09-03T00:00:00+00:00,4385.8,4398.27,4382.7,4395.32,10385
2026-09-03T01:00:00+00:00,4395.35,4412.59,4387.34,4410.35,13906
2026-09-03T02:00:00+00:00,4410.4,4420.65,4406.49,4420.51,12542
2026-09-03T03:00:00+00:00,4420.52,4432.69,4419.21,4431.46,10337
